A,,CALSIM,CALSIM
B,,DEL_CVP_TOTAL,DEL_SWP_TOTAL
C,,DELIVERY-CVP,DELIVERY-SWP
E,,,
F,,2020D09E,2020D09E
Units,,CFS,CFS
Type,,PER-AVER,PER-AVER
866,30Nov1993,2808,5804
867,31Dec1993,1686,4550
868,31Jan1994,1475,749
869,28Feb1994,2420,265
870,31Mar1994,1790,788
871,30Apr1994,4259,3661
872,31May1994,8088,3577
873,30Jun1994,11549,5514
874,31Jul1994,11756,5637
875,31Aug1994,9395,4901
876,30Sep1994,4592,3907
877,31Oct1994,2952,3835
878,30Nov1994,1822,2647
879,31Dec1994,998,2456
880,31Jan1995,864,75
881,28Feb1995,1557,1210
882,31Mar1995,2861,1924
883,30Apr1995,5910,4485
884,31May1995,11454,6110
885,30Jun1995,16446,9445
886,31Jul1995,18980,10170
887,31Aug1995,15276,9736
888,30Sep1995,6953,8416
889,31Oct1995,4750,7908
890,30Nov1995,3272,7348
891,31Dec1995,1595,4562
892,31Jan1996,1652,1024
893,29Feb1996,2636,914
894,31Mar1996,2689,2120
895,30Apr1996,5717,4266
896,31May1996,10455,5411
897,30Jun1996,16825,9487
